geometry,band_count,spacing_nm,effective_fwhm_nm,shift_nm,absolute_shift_over_spacing,absolute_shift_over_fwhm,scene,model,model_key,direction,nominal_macro_f1_mean,shifted_macro_f1_mean,paired_macro_f1_drop_mean,paired_macro_f1_drop_std,ece_change_shifted_minus_nominal_mean,label_flip_rate_mean,correct_to_wrong_rate_mean,wrong_to_correct_rate_mean,low_capability_nominal_below_0p70
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HanChuan,SSCNN-3x3,sscnn3x3,minus,0.7584360779811492,0.6718227388171114,0.0866133391640378,0.010707523932663993,0.043254367711596055,0.11405505118095997,0.06892610409809383,0.02249936701992983,False
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HanChuan,SSCNN-3x3,sscnn3x3,plus,0.7584360779811492,0.6383991351891372,0.12003694279201213,0.01891646341316019,0.0674788676423656,0.13822693239772849,0.09322819835786884,0.018002676601439577,False
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HanChuan,SSResNet-3x3,ssresnet3x3,minus,0.7393254115360649,0.6430017433782858,0.09632366815777912,0.0237846869952513,0.049848638846610595,0.14634354541179875,0.08565703331283683,0.03108474698882338,False
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HanChuan,SSResNet-3x3,ssresnet3x3,plus,0.7393254115360649,0.5934332323736183,0.14589217916244662,0.030758768964612566,0.06062223547366565,0.1635707310015553,0.10620175787608059,0.021634173689731258,False
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HanChuan,SpectralFormer-3x3,spectralformer3x3,minus,0.732362345078616,0.6865996654894773,0.0457626795891388,0.010954290530906232,0.01601692538837132,0.08464281838897528,0.04106485332947517,0.02237783484645712,False
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HanChuan,SpectralFormer-3x3,spectralformer3x3,plus,0.732362345078616,0.6930314599312088,0.03933088514740708,0.012378794208677088,0.01967028948050551,0.07885701884472095,0.04418417911527471,0.016832206025970266,False
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HongHu,Linear,linear,minus,0.5552323184024248,0.45844545794605207,0.09678686045637273,0.0030992180341589556,-0.05005644729590517,0.23302270081208903,0.13943004004888956,0.031450697353101735,True
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HongHu,Linear,linear,plus,0.5552323184024248,0.4822537125468333,0.0729786058555914,0.003491463819937111,-0.07407393475234939,0.1780711797755523,0.07803784595912018,0.047113726285888204,True
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HongHu,MLP,mlp,minus,0.6189985421049526,0.5251601721806934,0.09383836992425924,0.013741614977894287,0.04499755283907713,0.23783629714440307,0.14618376111731088,0.034664270496673866,True
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HongHu,MLP,mlp,plus,0.6189985421049526,0.5585324877757202,0.06046605432923258,0.006129749626728817,0.04487078337174801,0.15580902138678338,0.07252085779020953,0.03593482031140548,True
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HongHu,CNN-1D,cnn1d,minus,0.6009649334070996,0.5401850887165048,0.06077984469059468,0.008620879546130287,0.0266827108527037,0.2037266240573535,0.10918515727281071,0.0385889650574646,True
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HongHu,CNN-1D,cnn1d,plus,0.6009649334070996,0.5167206237261374,0.08424430968096223,0.009716111175123911,0.05250120039020403,0.16924110011256205,0.08459736131441518,0.03345072633902907,True
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HongHu,SSCNN-3x3,sscnn3x3,minus,0.7252469910300008,0.5168167048268194,0.20843028620318133,0.026648785433367166,0.14684649556832757,0.28162823615801197,0.20788707082711344,0.02724677169234337,False
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HongHu,SSCNN-3x3,sscnn3x3,plus,0.7252469910300008,0.5485730152107489,0.17667397581925195,0.014008417592437495,0.09937283845415032,0.19624342381773646,0.12718638434373447,0.023104682676560528,False
dense_narrow,90,6.022471910112359,9.0,-2.2,0.3652985074626866,0.24444444444444446,HongHu,SSResNet-3x3,ssresnet3x3,minus,0.7312270644508032,0.52838444544443,0.20284261900637324,0.025414803668924697,0.13586367666347013,0.3062218293018739,0.23121687753928805,0.027830355029299935,False
dense_narrow,90,6.022471910112359,9.0,2.2,0.3652985074626866,0.24444444444444446,HongHu,SSResNet-3x3,ssresnet3x3,plus,0.7312270644508032,0.5430228412551972,0.188204223195606,0.027778177686704413,0.08362149832622123,0.1965854577602574,0.12776127190249134,0.022925936124678133,False
